Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Founded Year,Total Raised ($B),Financial Stage,Investors Count
Core Dynamics60,8.51,2023-08-25,United States,San Francisco,Health,"Lightspeed Venture Partners, Y Combinator",2019,2.998,Series C,8
Cloud Networks30,5.58,2023-08-23,China,Guangzhou,Hardware,"Index Ventures, Insight Partners",2020,2.05,Series D,17
Forge Dynamics15,1.26,2023-08-19,United Kingdom,London,E-commerce & direct-to-consumer,"Tiger Global Management, Accel",2015,0.159,Series C,9
Shift Dynamics,2.19,2023-08-15,Japan,Tokyo,Cybersecurity,"Accel, DST Global, Coatue Management, New Enterprise Associates",2018,0.705,Series E,19
Stream Hub52,2.23,2023-08-08,United States,Palo Alto,Other,"General Atlantic, Accel",2016,0.516,Series D,16
Pay Group96,1.8,2023-08-06,United States,New York,Data management & analytics,"Kleiner Perkins Caufield & Byers, Greylock Partners, Khosla Ventures, Tencent Holdings",2018,0.526,Series E,10
Omni AI36,2.13,2023-08-06,China,Shanghai,Fintech,"Founders Fund, Y Combinator, Bessemer Venture Partners, General Atlantic",2011,0.783,Series B,19
PayShift34,1.19,2023-07-31,United States,Chicago,Data management & analytics,Insight Partners,2016,0.249,Series C,14
Zenith Networks58,23.37,2023-07-31,United States,New York,Health,"Lightspeed Venture Partners, Alibaba Group, Tencent Holdings",2017,11.315,Series E,18
Zenith Technologies,1.98,2023-07-26,United States,Seattle,Fintech,"Andreessen Horowitz, General Atlantic, Sequoia Capital, Greylock Partners",2013,0.324,Series C,5
AutoLink23,1.18,2023-07-26,United States,Palo Alto,Data management & analytics,"Sequoia Capital, Kleiner Perkins Caufield & Byers",2013,0.118,Pre-IPO,8
Nexio37,2.15,2023-07-24,China,Guangzhou,Auto & transportation,"Google Ventures, Bessemer Venture Partners, Andreessen Horowitz",2012,0.815,Pre-IPO,6
PayForge,2.74,2023-07-22,United Kingdom,Oxford,Fintech,Benchmark,2015,1.206,Series C,13
Pulse Labs,21.88,2023-07-21,Brazil,Sao Paulo,Hardware,"Tencent Holdings, Coatue Management, Lightspeed Venture Partners, Index Ventures",2019,7.947,Series E,16
Dataify8,9.88,2023-07-19,Singapore,Singapore,Fintech,"Google Ventures, Alibaba Group",2019,3.289,Series D,10
AutoPulse,1.9,2023-07-16,France,Paris,Consumer & retail,"Coatue Management, Y Combinator, SoftBank Group, Andreessen Horowitz",2017,0.757,Series D,10
Dataify,6.59,2023-07-10,India,Bengaluru,E-commerce & direct-to-consumer,"SoftBank Group, General Atlantic, Andreessen Horowitz, Tiger Global Management",2016,2.419,Series D,7
Smart Hub,1.92,2023-07-06,United States,Chicago,E-commerce & direct-to-consumer,"Insight Partners, Google Ventures, Andreessen Horowitz, Sequoia Capital",2016,0.28,Series E,8
CyberShift67,86.27,2023-07-05,United States,New York,E-commerce & direct-to-consumer,Lightspeed Venture Partners,2020,37.375,Pre-IPO,6
FinStream70,2.0,2023-07-02,China,Hangzhou,Internet software & services,Andreessen Horowitz,2015,0.245,Series E,2
Core Networks97,7.82,2023-07-02,India,Pune,Cybersecurity,"DST Global, Founders Fund",2019,2.945,Series D,12
Space Solutions45,2.79,2023-06-29,Singapore,Singapore,Health,"Sequoia Capital, Google Ventures, Andreessen Horowitz",2018,1.232,Series F,9
AeroStream56,1.22,2023-06-21,India,New Delhi,E-commerce & direct-to-consumer,"New Enterprise Associates, Alibaba Group",2015,0.391,Series D,4
Auto Networks34,1.28,2023-06-18,United Kingdom,London,Internet software & services,"Alibaba Group, Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, Y Combinator",2013,0.626,Series B,15
Cloudio98,2.24,2023-06-18,Israel,Tel Aviv,Data management & analytics,"Google Ventures, DST Global, Andreessen Horowitz",2012,0.613,Series C,3
Autoly,3.48,2023-06-18,Brazil,Sao Paulo,Internet software & services,"Google Ventures, SoftBank Group",2011,0.691,Series E,3
Nex Networks,3.74,2023-06-13,United States,Chicago,Fintech,"Khosla Ventures, Tencent Holdings, Greylock Partners, Accel",2012,1.818,Series C,12
TechSpace,2.69,2023-06-08,United States,Austin,Data management & analytics,Tiger Global Management,2018,0.497,Series E,5
TechZenith,1.63,2023-06-07,United Kingdom,Oxford,Cybersecurity,"Google Ventures, Alibaba Group",2020,0.446,Series E,7
Vertex Labs21,1.36,2023-06-07,Brazil,Sao Paulo,Data management & analytics,"New Enterprise Associates, Tencent Holdings, Coatue Management",2017,0.21,Series D,7
MetaGrid59,1.65,2023-06-01,United States,Chicago,Data management & analytics,Kleiner Perkins Caufield & Byers,2011,0.246,Series B,15
Link Technologies19,2.77,2023-05-30,India,Gurugram,Other,New Enterprise Associates,2012,0.434,Series B,2
FinWave,2.5,2023-05-29,United States,Chicago,Other,"General Atlantic, Benchmark, Accel, Y Combinator",2018,1.229,Private Equity,11
TechCore,1.83,2023-05-26,Israel,Tel Aviv,Internet software & services,Tencent Holdings,2015,0.411,Series C,15
Wave Systems,2.7,2023-05-22,India,Bengaluru,Edtech,Google Ventures,2014,0.677,Series E,16
Stream Solutions63,6.72,2023-05-18,United States,Boston,Health,"Kleiner Perkins Caufield & Byers, Benchmark",2012,3.162,Series C,2
Health Dynamics,123.84,2023-05-17,United States,Austin,Internet software & services,"Andreessen Horowitz, Sequoia Capital, Benchmark, Bessemer Venture Partners",2016,44.734,Series F,9
BioForge,3.61,2023-05-13,United States,New York,E-commerce & direct-to-consumer,"Insight Partners, Y Combinator",2015,1.604,Series D,15
Cyber Networks79,2.48,2023-05-12,South Korea,Seoul,Artificial intelligence,Thrive Capital,2012,1.009,Series D,7
MetaPulse,2.23,2023-05-11,India,Pune,Fintech,Tiger Global Management,2016,0.293,Private Equity,7
Meta AI12,4.11,2023-05-08,United States,San Francisco,Fintech,"Tiger Global Management, Kleiner Perkins Caufield & Byers, General Atlantic",2013,0.656,Series C,7
DataBlock,1.9,2023-05-04,France,Paris,Fintech,Lightspeed Venture Partners,2012,0.196,Series C,4
OmniWave,2.65,2023-05-02,Canada,Montreal,Artificial intelligence,"Coatue Management, SoftBank Group, Thrive Capital, Sequoia Capital",2017,0.66,Series C,18
NexVertex,1.56,2023-04-29,United States,Los Angeles,Other,Lightspeed Venture Partners,2018,0.343,Series D,15
BioShift,5.82,2023-04-26,United States,San Francisco,Fintech,"Coatue Management, Sequoia Capital, Tiger Global Management",2013,0.803,Private Equity,16
Aero Base58,10.46,2023-04-26,Germany,Munich,E-commerce & direct-to-consumer,"Thrive Capital, SoftBank Group, Benchmark, DST Global",2020,2.731,Series E,19
Cloud Systems,1.91,2023-04-20,United States,Los Angeles,Health,"Khosla Ventures, Bessemer Venture Partners, DST Global",2017,0.436,Series D,7
Shift Base,1.53,2023-04-18,United Kingdom,Oxford,Fintech,"Alibaba Group, Founders Fund, Benchmark, Accel",2018,0.351,Pre-IPO,7
Streamio34,27.11,2023-04-17,United Kingdom,Oxford,Health,"Insight Partners, Thrive Capital, Sequoia Capital",2012,9.374,Series C,17
Core Systems,2.46,2023-04-13,India,Mumbai,Fintech,General Atlantic,2016,0.946,Private Equity,12
Bioify,2.63,2023-04-10,United States,Boston,Cybersecurity,"Index Ventures, DST Global, New Enterprise Associates",2020,0.987,Series E,18
Nexify56,1.66,2023-04-05,United States,Seattle,Artificial intelligence,"Google Ventures, Andreessen Horowitz, Y Combinator, Index Ventures",2016,0.237,Series D,8
Autoly60,1.74,2023-03-31,United States,Boston,Fintech,"New Enterprise Associates, Accel",2017,0.722,Series D,12
BioForge46,8.39,2023-03-31,Brazil,Curitiba,Internet software & services,"Khosla Ventures, Kleiner Perkins Caufield & Byers",2011,3.086,Series C,3
CloudWave72,2.18,2023-03-22,United States,Boston,Artificial intelligence,"Lightspeed Venture Partners, Y Combinator",2019,0.35,Series D,5
Vertexly18,5.78,2023-03-20,United States,San Francisco,Fintech,"Accel, Andreessen Horowitz",2020,1.191,Series D,17
Stream Solutions47,1.52,2023-03-15,China,Guangzhou,Fintech,"Lightspeed Venture Partners, General Atlantic, DST Global",2011,0.361,Private Equity,8
Core Dynamics16,2.23,2023-03-15,China,Beijing,Fintech,"Tiger Global Management, Alibaba Group, Accel",2014,0.942,Series D,11
Cloudio16,2.6,2023-03-13,Israel,Tel Aviv,Fintech,Tiger Global Management,2016,0.372,Series E,9
Meta Systems88,17.16,2023-03-11,France,Paris,Auto & transportation,"Khosla Ventures, Lightspeed Venture Partners, DST Global",2015,1.969,Series C,18
Metaify28,2.28,2023-03-05,Canada,Toronto,Internet software & services,"Y Combinator, Tencent Holdings, Coatue Management, Index Ventures",2014,0.451,Series E,4
Cloud Solutions,2.55,2023-03-04,United States,Seattle,Cybersecurity,"Y Combinator, New Enterprise Associates, Alibaba Group, Tiger Global Management",2015,0.791,Pre-IPO,9
Flow Systems,1.73,2023-03-04,United States,Chicago,Artificial intelligence,"Lightspeed Venture Partners, Founders Fund, Andreessen Horowitz, Accel",2020,0.173,Series D,14
Zenithly,2.3,2023-03-03,United States,Los Angeles,Health,"Greylock Partners, Alibaba Group, New Enterprise Associates, Kleiner Perkins Caufield & Byers",2015,0.334,Series D,9
TechShift,3.65,2023-03-01,China,Shanghai,Fintech,"Khosla Ventures, Alibaba Group, Benchmark, Tiger Global Management",2011,0.505,Series D,8
Pulse Group35,8.81,2023-03-01,United States,Palo Alto,"Supply chain, logistics, & delivery","New Enterprise Associates, Y Combinator",2019,2.08,Private Equity,7
Aero AI97,9.34,2023-02-27,United States,Austin,Health,"New Enterprise Associates, Y Combinator, Coatue Management, Benchmark",2014,1.07,Series D,19
Zenith Labs,1.32,2023-02-18,Israel,Tel Aviv,Cybersecurity,Coatue Management,2015,0.283,Series D,14
TechBlock32,2.3,2023-02-15,Canada,Montreal,Fintech,Khosla Ventures,2019,1.029,Series C,4
Flow Labs,6.31,2023-02-15,United States,San Francisco,Cybersecurity,Y Combinator,2016,2.739,Series D,6
Cloud Networks82,5.08,2023-02-10,United States,Austin,Fintech,"Insight Partners, Greylock Partners, General Atlantic",2015,2.002,Series C,3
Vertex Group4,1.49,2023-02-08,United Kingdom,Cambridge,Fintech,"Google Ventures, Tencent Holdings, Coatue Management",2018,0.608,Series D,13
Cloud Technologies,1.96,2023-01-31,United Kingdom,Oxford,Internet software & services,"SoftBank Group, Greylock Partners, DST Global",2012,0.585,Series D,7
Flowify44,1.4,2023-01-25,Brazil,Sao Paulo,E-commerce & direct-to-consumer,"Insight Partners, New Enterprise Associates",2015,0.658,Series E,3
Bio Group26,1.82,2023-01-24,Singapore,Singapore,Hardware,"General Atlantic, New Enterprise Associates, Alibaba Group",2019,0.431,Series D,5
BioSpace90,1.66,2023-01-20,United States,Austin,Fintech,"New Enterprise Associates, Thrive Capital",2011,0.375,Series E,2
Streamio,22.85,2023-01-17,United States,Los Angeles,Cybersecurity,"Thrive Capital, Kleiner Perkins Caufield & Byers, Alibaba Group, Tencent Holdings",2012,8.133,Series F,9
TechPulse55,4.73,2023-01-17,France,Paris,Fintech,"Y Combinator, Lightspeed Venture Partners, Tencent Holdings, Sequoia Capital",2014,2.328,Series D,5
Omni Systems43,2.05,2023-01-13,Canada,Montreal,Internet software & services,"Bessemer Venture Partners, Andreessen Horowitz",2019,0.674,Series E,4
OmniFlow56,13.3,2023-01-12,United Kingdom,Cambridge,Fintech,"Andreessen Horowitz, SoftBank Group",2015,2.424,Pre-IPO,8
Shift Solutions85,24.52,2023-01-12,United States,Boston,Hardware,"Coatue Management, Alibaba Group, Greylock Partners",2018,8.143,Series C,14
Space Systems70,9.67,2022-12-27,China,Shanghai,"Supply chain, logistics, & delivery",Founders Fund,2019,4.647,Series C,8
Cyber Group,2.48,2022-12-27,Israel,Jerusalem,Internet software & services,Khosla Ventures,2014,1.188,Series D,5
Cloud Solutions37,1.33,2022-12-22,United States,Boston,Fintech,"Accel, Khosla Ventures, Thrive Capital",2017,0.219,Series E,6
Flow AI13,1.37,2022-12-20,United States,Palo Alto,Data management & analytics,"Tiger Global Management, Khosla Ventures, Insight Partners",2012,0.25,Series D,3
Shiftly73,1.73,2022-12-17,United States,Seattle,Data management & analytics,"Greylock Partners, Bessemer Venture Partners, Thrive Capital, Tencent Holdings",2012,0.427,Private Equity,14
Data Technologies9,2.07,2022-12-14,United States,Boston,E-commerce & direct-to-consumer,"Alibaba Group, Andreessen Horowitz, Tencent Holdings",2018,0.774,Series F,3
Stream Base,1.83,2022-12-13,United States,Austin,Health,Alibaba Group,2016,0.83,Private Equity,11
MetaVertex34,1.73,2022-12-08,United States,Palo Alto,Internet software & services,"New Enterprise Associates, Alibaba Group, Tiger Global Management",2017,0.396,Series D,10
AutoSpace85,7.1,2022-12-06,China,Hangzhou,E-commerce & direct-to-consumer,SoftBank Group,2010,2.916,Pre-IPO,12
Grid Base59,60.21,2022-12-01,India,New Delhi,Health,"DST Global, Coatue Management, Accel",2014,18.239,Series D,12
NovaBlock,2.28,2022-12-01,Sweden,Stockholm,Edtech,"Lightspeed Venture Partners, Thrive Capital, Google Ventures, Index Ventures",2012,0.295,Series E,5
Metaly63,2.97,2022-11-28,United States,Chicago,Cybersecurity,Sequoia Capital,2012,0.622,Private Equity,6
Forge Solutions51,2.89,2022-11-26,United States,Seattle,Fintech,"Insight Partners, Andreessen Horowitz, Y Combinator",2011,1.1,Series E,6
Health Solutions34,13.17,2022-11-22,United States,San Francisco,Internet software & services,"Khosla Ventures, Index Ventures",2019,2.632,Pre-IPO,5
Forgeio,9.23,2022-11-22,United States,Chicago,Health,"Khosla Ventures, Index Ventures",2019,3.672,Series F,5
OmniMind65,1.12,2022-11-17,United States,Chicago,Edtech,"Coatue Management, Kleiner Perkins Caufield & Byers, Alibaba Group",2018,0.133,Series D,6
AutoFlow38,1.54,2022-11-10,China,Guangzhou,Artificial intelligence,"Thrive Capital, Tiger Global Management",2010,0.697,Series D,3
SmartForge11,1.77,2022-11-09,United States,Boston,Other,"New Enterprise Associates, Google Ventures, Andreessen Horowitz, Accel",2014,0.577,Series D,8
PayFlow,1.23,2022-11-07,United States,Los Angeles,Internet software & services,"Accel, Index Ventures, Alibaba Group, Bessemer Venture Partners",2010,0.186,Series F,7
Tech AI82,2.74,2022-11-04,China,Guangzhou,Fintech,"Accel, New Enterprise Associates, Insight Partners, Thrive Capital",2010,1.011,Series E,9
CyberGrid,5.83,2022-10-30,Germany,Berlin,Fintech,"DST Global, General Atlantic, Khosla Ventures, Y Combinator",2010,1.22,Series B,16
Auto Networks11,22.19,2022-10-30,India,Bengaluru,Health,"Khosla Ventures, Alibaba Group, New Enterprise Associates",2015,3.898,Series F,13
Pay AI6,1.87,2022-10-29,United States,Chicago,"Supply chain, logistics, & delivery","Coatue Management, Accel, Greylock Partners, Tencent Holdings",2015,0.42,Series C,19
Cyber Systems62,3.96,2022-10-29,United States,Seattle,Health,"Greylock Partners, Sequoia Capital, SoftBank Group, Andreessen Horowitz",2011,0.49,Series E,7
Omni Solutions,1.21,2022-10-25,India,Pune,Internet software & services,"Accel, Tiger Global Management, Andreessen Horowitz",2015,0.58,Series E,17
Nova Group,2.76,2022-10-25,United States,New York,E-commerce & direct-to-consumer,"Greylock Partners, Founders Fund, Kleiner Perkins Caufield & Byers",2015,1.182,Series C,12
Health Solutions,2.61,2022-10-21,Israel,Jerusalem,Fintech,Google Ventures,2018,0.837,Series D,12
HealthForge,3.56,2022-10-15,United States,Boston,Health,"Google Ventures, Khosla Ventures",2017,1.362,Series B,4
Vertex Systems71,2.4,2022-10-14,United States,San Francisco,Data management & analytics,"DST Global, Tencent Holdings",2013,0.343,Pre-IPO,8
CyberForge,2.38,2022-10-02,France,Paris,Cybersecurity,"Tencent Holdings, SoftBank Group, Benchmark",2012,0.636,Series E,13
Stream Dynamics,1.21,2022-10-01,China,Guangzhou,Artificial intelligence,"Lightspeed Venture Partners, Thrive Capital, Benchmark, Index Ventures",2018,0.383,Series C,18
Payio,2.63,2022-09-29,France,Paris,Travel,"Y Combinator, DST Global",2017,0.944,Series C,2
Core Group,3.99,2022-09-26,Indonesia,Jakarta,Health,"Y Combinator, Thrive Capital, Kleiner Perkins Caufield & Byers, Andreessen Horowitz",2015,0.671,Series E,13
SmartGrid86,1.52,2022-09-25,United States,Seattle,Internet software & services,"Founders Fund, SoftBank Group, Tiger Global Management",2013,0.408,Series D,7
AeroPulse,1.16,2022-09-21,United States,Chicago,Internet software & services,"Founders Fund, Coatue Management, Khosla Ventures, DST Global",2011,0.133,Series D,6
Zenithify16,29.87,2022-09-21,United Kingdom,Cambridge,Health,Accel,2011,11.849,Private Equity,4
OmniMind,1.58,2022-09-19,United States,Palo Alto,Artificial intelligence,"Alibaba Group, Benchmark, Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers",2016,0.529,Series E,14
CloudBlock88,2.64,2022-09-17,Singapore,Singapore,Artificial intelligence,General Atlantic,2012,0.963,Series F,9
DataVertex,21.62,2022-09-07,United States,Austin,E-commerce & direct-to-consumer,"Index Ventures, Coatue Management",2019,9.813,Series C,15
Vertex Labs86,2.83,2022-09-06,United Kingdom,London,Cybersecurity,Accel,2018,1.277,Series D,6
Forge Labs30,2.12,2022-09-05,Brazil,Sao Paulo,E-commerce & direct-to-consumer,Y Combinator,2017,0.408,Series E,2
Shift Base53,2.63,2022-09-03,India,Mumbai,E-commerce & direct-to-consumer,"Bessemer Venture Partners, Kleiner Perkins Caufield & Byers",2017,0.34,Series D,16
Forge Networks26,9.29,2022-08-24,India,Mumbai,Consumer & retail,Founders Fund,2016,1.293,Series E,14
AeroFlow,2.87,2022-08-23,United States,Chicago,E-commerce & direct-to-consumer,"Accel, Greylock Partners, Sequoia Capital, Kleiner Perkins Caufield & Byers",2014,0.726,Series C,6
Vertex Base,2.17,2022-08-22,United States,Austin,Fintech,"Y Combinator, Andreessen Horowitz, Index Ventures, Accel",2017,0.809,Series E,6
Space Hub90,1.87,2022-08-22,United States,Palo Alto,Internet software & services,"Alibaba Group, Thrive Capital, Coatue Management, Google Ventures",2017,0.815,Series C,5
Shift Hub20,1.31,2022-08-22,United States,Los Angeles,Fintech,"Benchmark, Thrive Capital, Tencent Holdings, Andreessen Horowitz",2018,0.448,Series E,6
Nexly64,2.94,2022-08-22,United States,Austin,Health,"Tencent Holdings, Index Ventures, Bessemer Venture Partners",2010,0.407,Series D,5
Nex Dynamics,9.72,2022-08-21,United States,Chicago,Health,"Y Combinator, SoftBank Group, Founders Fund, Index Ventures",2014,1.503,Series F,9
NovaMind76,1.86,2022-08-21,United States,Palo Alto,Auto & transportation,"Lightspeed Venture Partners, Bessemer Venture Partners, Accel",2014,0.304,Series F,13
Mind Networks52,11.96,2022-08-14,United States,Seattle,Artificial intelligence,"Bessemer Venture Partners, Index Ventures, Accel",2010,3.281,Series F,13
Space Technologies33,8.15,2022-08-08,India,Pune,Data management & analytics,"Y Combinator, Kleiner Perkins Caufield & Byers, Tencent Holdings, Khosla Ventures",2010,1.014,Series D,14
AutoMind,1.49,2022-08-08,Singapore,Singapore,E-commerce & direct-to-consumer,"Alibaba Group, DST Global",2014,0.639,Series D,2
OmniStream12,2.94,2022-08-08,China,Guangzhou,E-commerce & direct-to-consumer,"New Enterprise Associates, Kleiner Perkins Caufield & Byers, Coatue Management",2013,1.462,Series D,3
Cyber AI,1.28,2022-08-04,China,Shanghai,Consumer & retail,"Benchmark, Lightspeed Venture Partners, Tiger Global Management",2012,0.542,Series C,6
NovaVertex6,2.89,2022-08-02,United States,New York,E-commerce & direct-to-consumer,"Founders Fund, Khosla Ventures, Bessemer Venture Partners",2013,0.601,Series D,8
CloudFlow40,2.73,2022-07-30,United States,Los Angeles,Cybersecurity,"Founders Fund, New Enterprise Associates, Sequoia Capital, Y Combinator",2012,1.128,Series F,13
Tech Hub,7.23,2022-07-28,United States,Boston,E-commerce & direct-to-consumer,Y Combinator,2013,1.285,Series C,10
NovaSpace,1.5,2022-07-28,United States,New York,Internet software & services,"Sequoia Capital, Y Combinator, New Enterprise Associates",2016,0.503,Series D,3
CyberSpace,2.11,2022-07-23,United States,Los Angeles,Internet software & services,"Founders Fund, Tiger Global Management, Insight Partners, Greylock Partners",2013,0.388,Series E,18
PayBlock16,1.15,2022-07-21,United States,Palo Alto,E-commerce & direct-to-consumer,"Khosla Ventures, Alibaba Group, Lightspeed Venture Partners, Benchmark",2015,0.548,Series B,13
Health AI84,1.31,2022-07-19,United States,Seattle,E-commerce & direct-to-consumer,"Alibaba Group, Thrive Capital, Google Ventures, Y Combinator",2016,0.402,Pre-IPO,6
AeroCore,2.92,2022-07-19,China,Hangzhou,Fintech,Founders Fund,2018,0.881,Series D,6
Core Base2,2.65,2022-07-13,United States,Seattle,Artificial intelligence,"Greylock Partners, Thrive Capital",2017,0.293,Series D,16
Smart Technologies59,2.39,2022-07-09,United States,Palo Alto,Consumer & retail,Kleiner Perkins Caufield & Byers,2018,0.712,Private Equity,3
Smartly,7.56,2022-07-04,Germany,Berlin,"Supply chain, logistics, & delivery","Insight Partners, Sequoia Capital",2010,1.217,Series C,6
FinZenith,1.06,2022-07-03,China,Hangzhou,Fintech,Y Combinator,2013,0.111,Series E,10
Shiftify4,1.09,2022-07-03,China,Hangzhou,Data management & analytics,"DST Global, Thrive Capital, Tiger Global Management",2017,0.476,Series C,15
AeroLink,1.24,2022-07-03,United States,Seattle,Health,"Founders Fund, Accel, General Atlantic",2014,0.524,Series E,18
Cloudly69,2.45,2022-06-20,China,Hangzhou,Other,"General Atlantic, Alibaba Group, Benchmark, Khosla Ventures",2010,0.484,Pre-IPO,18
Smart Base70,9.93,2022-06-15,China,Shenzhen,Fintech,"New Enterprise Associates, DST Global, Alibaba Group, Y Combinator",2011,2.27,Pre-IPO,12
Data Group50,1.44,2022-06-07,United States,San Francisco,Fintech,"Sequoia Capital, Tencent Holdings, Insight Partners",2013,0.472,Series E,16
Omni Labs91,2.6,2022-06-06,United States,New York,"Supply chain, logistics, & delivery","Thrive Capital, DST Global, Tencent Holdings, Coatue Management",2015,0.512,Series C,8
Forge Networks,5.21,2022-06-02,Canada,Vancouver,Internet software & services,"New Enterprise Associates, Thrive Capital",2012,0.632,Series C,6
Data Group38,1.32,2022-05-28,India,New Delhi,Internet software & services,"Alibaba Group, Insight Partners, Greylock Partners, Bessemer Venture Partners",2015,0.301,Series D,15
Vertex Systems51,2.62,2022-05-26,Sweden,Stockholm,Artificial intelligence,"Lightspeed Venture Partners, Accel, Bessemer Venture Partners, Greylock Partners",2012,0.665,Series E,9
Bio Base95,1.98,2022-05-24,United States,Chicago,Internet software & services,"Thrive Capital, DST Global, General Atlantic",2014,0.561,Series D,14
Wave Solutions36,2.01,2022-05-24,Brazil,Curitiba,Internet software & services,Accel,2012,0.206,Series C,16
AeroCore89,1.12,2022-05-22,United States,San Francisco,Internet software & services,"Kleiner Perkins Caufield & Byers, Tencent Holdings",2011,0.444,Series D,17
MetaGrid,2.26,2022-05-21,United States,Palo Alto,Internet software & services,DST Global,2015,0.715,Series B,1
Stream Base23,23.19,2022-05-18,United States,Chicago,Data management & analytics,Greylock Partners,2015,2.987,Series C,11
Grid Labs,1.46,2022-05-10,United States,Seattle,E-commerce & direct-to-consumer,"Tiger Global Management, Thrive Capital, Lightspeed Venture Partners, General Atlantic",2010,0.532,Series C,10
HealthForge77,1.97,2022-05-09,Germany,Berlin,Artificial intelligence,Bessemer Venture Partners,2010,0.434,Series E,5
Dataify5,2.78,2022-05-09,United States,New York,Fintech,"Andreessen Horowitz, Benchmark",2019,0.613,Series E,15
Zenithio35,1.46,2022-05-02,United States,Palo Alto,Fintech,"Sequoia Capital, Andreessen Horowitz, Khosla Ventures",2018,0.447,Series E,15
Stream Systems81,1.54,2022-05-01,United States,Seattle,Fintech,"Founders Fund, Lightspeed Venture Partners",2010,0.272,Series E,11
Coreify,2.35,2022-04-30,United States,Palo Alto,Internet software & services,"Bessemer Venture Partners, Index Ventures, Benchmark, Lightspeed Venture Partners",2011,0.46,Series F,19
Tech Systems22,1.32,2022-04-30,United States,San Francisco,Edtech,Bessemer Venture Partners,2012,0.183,Series B,3
Vertex Technologies67,18.39,2022-04-18,United States,Seattle,Internet software & services,"Alibaba Group, Sequoia Capital, General Atlantic",2011,6.329,Series D,7
TechShift78,22.76,2022-04-18,Sweden,Stockholm,Data management & analytics,"Kleiner Perkins Caufield & Byers, Tiger Global Management, Founders Fund, Coatue Management",2015,6.123,Series C,4
Metaio,1.6,2022-04-18,United States,Palo Alto,E-commerce & direct-to-consumer,"Tencent Holdings, Bessemer Venture Partners, New Enterprise Associates",2010,0.722,Series F,4
Cloudly12,1.89,2022-04-16,United States,Boston,Fintech,Index Ventures,2014,0.913,Series D,15
Omni Group55,1.51,2022-04-15,United Kingdom,Cambridge,Consumer & retail,"Google Ventures, Benchmark",2018,0.722,Series C,15
Nova Labs,19.64,2022-04-13,United States,Palo Alto,Artificial intelligence,"Insight Partners, Accel",2018,2.793,Pre-IPO,2
TechStream2,7.51,2022-04-11,India,Bengaluru,E-commerce & direct-to-consumer,"Lightspeed Venture Partners, Tiger Global Management",2015,1.179,Series D,2
Vertex Systems79,2.34,2022-04-11,United States,Chicago,Fintech,Lightspeed Venture Partners,2015,0.343,Series D,12
MetaForge,2.17,2022-04-08,United States,Los Angeles,Internet software & services,DST Global,2019,0.969,Series D,3
DataWave7,1.46,2022-04-07,United States,New York,Auto & transportation,Index Ventures,2014,0.712,Series F,9
Metaio91,2.63,2022-04-01,India,Mumbai,Data management & analytics,"Tiger Global Management, Tencent Holdings",2016,0.901,Series E,2
Mindly35,1.93,2022-03-28,United States,Austin,Health,DST Global,2019,0.508,Series D,8
Flow Technologies,2.64,2022-03-21,Germany,Berlin,E-commerce & direct-to-consumer,Google Ventures,2012,0.851,Series F,8
Shift Hub,21.42,2022-03-12,United Kingdom,Cambridge,Internet software & services,"DST Global, Greylock Partners",2016,2.95,Private Equity,15
Smartio,1.94,2022-03-09,China,Hangzhou,Internet software & services,"Tiger Global Management, DST Global",2014,0.381,Series E,10
BioSpace9,2.95,2022-03-05,Brazil,Sao Paulo,Travel,"Benchmark, Kleiner Perkins Caufield & Byers, Alibaba Group, Andreessen Horowitz",2012,1.309,Series D,9
Streamify,4.71,2022-03-04,United States,Boston,Fintech,Thrive Capital,2011,0.635,Series C,14
Smart Base,1.06,2022-02-28,United States,New York,Other,"Sequoia Capital, Tencent Holdings, Benchmark, Coatue Management",2014,0.185,Series B,11
Cyberify34,27.76,2022-02-25,United Kingdom,London,Internet software & services,Tencent Holdings,2012,13.105,Series D,14
Wave Hub76,2.63,2022-02-12,United States,Palo Alto,Fintech,"Y Combinator, DST Global, Sequoia Capital, Founders Fund",2011,1.19,Series D,16
Aero Labs,1.64,2022-02-09,United States,Boston,Fintech,"Coatue Management, Benchmark, Thrive Capital, SoftBank Group",2011,0.51,Series F,19
Bioly1,1.62,2022-02-06,India,Pune,E-commerce & direct-to-consumer,"Benchmark, Insight Partners, Lightspeed Venture Partners, SoftBank Group",2018,0.427,Pre-IPO,18
OmniGrid37,3.66,2022-01-26,United Kingdom,Oxford,Internet software & services,"Index Ventures, Khosla Ventures, Lightspeed Venture Partners, Accel",2014,1.364,Series E,9
Zenith Group,1.71,2022-01-24,United States,Austin,Artificial intelligence,"Bessemer Venture Partners, Insight Partners, Lightspeed Venture Partners, Founders Fund",2019,0.758,Series D,15
DataShift24,2.24,2022-01-20,Germany,Berlin,Artificial intelligence,"Tencent Holdings, Founders Fund, Thrive Capital, Kleiner Perkins Caufield & Byers",2012,1.059,Pre-IPO,10
Pay Dynamics31,1.42,2022-01-13,India,New Delhi,E-commerce & direct-to-consumer,"Kleiner Perkins Caufield & Byers, Index Ventures",2014,0.219,Series C,15
